CJ McCollum,48,50.06,-0.1609,0.1327,1.4399,1.4136,-0.263,0.9721,-0.1954,0.1217,-0.4977,Goes from cold-shooting stretches to hitting everything as frequently as any player I've seen in the league (last season there were 3 individual months where he shot 48%+ from the field and 3 individual months where he shot 44% or lower).
Tobias Harris,33,40.45,0.4445,0.3941,0.3456,1.0512,0.8384,0.4158,-0.4641,0.1948,0.1541,Continues to be a roto-friendly player who won't hurt you in any categories
Derrick White,133,139.35,0.2203,1.0772,-0.1037,0.0753,-0.3946,0.9383,0.1954,1.1688,-0.1185,"His reputation exceeds his output, but when he's producing he's capable of being a top-75 fantasy player"
Jaylen Brown,86,70.1,0.7157,-0.5759,1.0137,1.2473,0.7604,-0.2248,0.7572,-0.2922,-1.0191,Almost doubled his PTS from last season and increased his output across the board
Dejounte Murray,85,100.21,0.1524,0.4189,-0.8639,-0.1239,0.674,1.1406,2.3938,-0.487,-0.7821,"His production started to pick up towards the end of last season, but he's still limited as a fantasy player until he improves his scoring. Can still be a top-80 player without needing to score more than 10 PPG"
Gordon Hayward,51,55.46,0.5455,1.101,0.0922,1.0151,0.5302,0.6855,-0.4885,-0.3165,-0.3555,"When he plays, he plays well, but it becomes a little harder to trust his health with every new injury"
TJ Warren,44,55.8,0.8751,0.6502,0.023,0.8598,-0.1069,-0.3371,0.9771,-0.073,0.2963,"I feel like his bubble performance has inflated his value, but his plantar fasciitis injury could see him miss time early in the season"
Thomas Bryant,112,128.25,3.0848,-0.3928,-0.8409,0.0863,0.9535,-0.4102,-1.0015,1.3392,0.4385,"His lack of defensive effort is starting to become noticeable, but it would be a hard task for anybody asked to be the defensive anchor on this roster. Best suited as a second-unit big man who feasts on weaker lineups, but is more than capable of being a long-term starter"
Lonzo Ball,68,75.59,-1.4277,-1.0983,0.9791,-0.1679,0.6247,2.5959,1.5633,0.2191,-1.825,"Looks like playing with Zion has had a positive impact on his fantasy output, but his shooting %s continue to be horrible and he'll slide in drafts given his play in the bubble"
Buddy Hield,80,85.79,-0.0777,0.5057,2.5803,0.9586,-0.185,0.1798,-0.1221,-0.8279,-0.7229,"There's still a little more growth left in his game, but he needs to up his steal rate to take his fantasy game to the next level"
